No.DB1;LON;LAT;ELEV;sand;silt;clay;BULK;COARSE;OrganicCarbon;N;PH;Region;SLLL;SDUL;SSAT;clust4Org;clust3Org;clust3
236;-14.56106625;13.35793651;0.045515528;0.648390063;0.178961484;0.1726264;1.581170872;0.080828667;0.814494035;6.247153938;5.659655407;3;0.113291445;0.199064588;0.410324786;1;1;1
237;-14.47972222;12.75972222;0.058950617;0.483895702;0.241545457;0.274653791;1.423736175;0.15374125;1.513026352;9.668141713;5.792341748;3;0.179271278;0.294531288;0.444588633;4;3;2
238;-14.47972222;12.84972222;0.052623457;0.497269513;0.255327025;0.247145558;1.448697338;0.154119869;1.094737461;9.09801453;5.687535087;3;0.159791821;0.272218593;0.42972314;3;3;2
239;-14.47972222;12.92972222;0.058169753;0.515515686;0.247853367;0.236416518;1.439279505;0.114103078;1.628206706;10.09858376;5.726754052;3;0.159509599;0.273202486;0.447008931;4;3;2
240;-14.47972222;13.01972222;0.031910494;0.539153543;0.264236877;0.196738429;1.518082791;0.136101502;1.420107955;9.530177847;5.666608562;3;0.13512874;0.246117738;0.440144373;4;3;1
241;-14.47972222;13.09972222;0.033617284;0.606285639;0.206796674;0.186802815;1.526904002;0.12093851;1.353180265;9.882064047;5.553431902;3;0.128760629;0.22641069;0.432146764;1;1;1
242;-14.47972222;13.18972222;0.058;0.545474775;0.259599536;0.194949438;1.547911914;0.105096894;1.31921792;9.26974205;5.543021418;3;0.132910969;0.241953028;0.435660491;4;3;1
243;-14.47972222;13.26972222;0.049012346;0.627954583;0.204616072;0.167443929;1.546257078;0.121286474;0.9861511;6.696622514;5.661967393;3;0.112735667;0.204320631;0.418607189;1;1;1
244;-14.38972222;12.75972222;0.061567901;0.480371492;0.227280239;0.292317169;1.406419901;0.117106022;1.586535896;10.55302581;5.787082038;3;0.189686546;0.304423403;0.446389469;4;3;2
245;-14.38972222;12.84972222;0.055691358;0.490672632;0.237342583;0.271952326;1.425908124;0.124336085;1.161583588;10.26731769;5.763893738;3;0.174443285;0.286558766;0.432409276;3;3;2
