LON;LAT;ELEV;sand;silt;clay;BULK;COARSE;OrganicCarbon;N;PH;No.DB1;Region;SLLL;SDUL;SSAT;SSKS
-15.63972222;12.77972222;0.047490741;0.439196947;0.266304567;0.294346908;1.415404661;0.134969919;2.516140988;15.14743385;5.605456825;115;2;0.198318041;0.325014521;0.482152545;0.23
-15.63972222;12.85972222;0.037854938;0.454474796;0.283765649;0.261889007;1.453319743;0.112761485;1.198389198;9.890299513;5.334473042;116;2;0.168966094;0.288687092;0.438517625;1.32
-15.63972222;12.94972222;0.034932099;0.485048703;0.259849808;0.255122975;1.445926374;0.106828929;2.01709013;10.02010913;5.248139296;117;2;0.173506368;0.293812221;0.463151561;0.43
-15.63972222;13.02972222;0.043611111;0.501177628;0.246728674;0.252249486;1.456010649;0.105602377;1.860707867;8.967803392;5.367832262;118;2;0.170541156;0.287089499;0.455562844;0.43
-15.63972222;13.11972222;0.043302469;0.545252623;0.221641944;0.23296319;1.4688813;0.085643368;1.669811111;8.166984919;5.506647501;119;2;0.158260626;0.266913535;0.444915076;0.43
-15.63972222;13.19972222;0.02387963;0.649318566;0.156462571;0.194233747;1.545159475;0.11086122;1.360173491;9.470288084;5.279813374;120;2;0.133112699;0.221785542;0.427428493;2.59
-15.63972222;13.28972222;0.023694444;0.590564252;0.21357285;0.195813095;1.54221528;0.099088221;1.55497776;10.60535695;5.293489169;121;2;0.136393817;0.238194421;0.440133696;0.43
-15.55972222;12.51972222;0.027024691;0.509664025;0.243799128;0.246591978;1.426555638;0.133953053;1.490595386;11.66261187;5.419302773;122;2;0.163656373;0.276561144;0.442042079;0.43
-15.55972222;12.68972222;0.023700617;0.558392778;0.249667591;0.19193726;1.478780998;0.13121382;1.326614366;9.665568739;5.507302976;124;2;0.131309758;0.23804445;0.434987003;2.59
-15.55950174;12.77880917;0.011251121;0.401746367;0.232927927;0.191982707;0.971950404;0.089158728;1.742219473;7.371882411;4.441536098;125;2;0.135745222;0.278604772;0.469939698;1.32
-15.55972222;12.85972222;0.02362963;0.520930429;0.262166967;0.216954105;1.416127938;0.10725125;1.884258289;11.02504934;5.41984645;126;2;0.151667875;0.268138378;0.458098868;0.43
-15.55972222;12.94972222;0.033469136;0.556425806;0.199868435;0.243717839;1.454949793;0.129822484;1.678932127;8.831598471;5.212990349;127;2;0.164416918;0.270205875;0.442428473;0.43
-15.55972222;13.02972222;0.01187037;0.45368185;0.287488319;0.258951005;1.463546852;0.116979927;2.192906045;7.901762095;5.175992574;128;2;0.176876904;0.303688835;0.474007176;1.32
-15.55972222;13.11972222;0.032851852;0.583966357;0.192754291;0.223202042;1.49071848;0.092429819;1.6848196;8.61425378;5.291149836;129;2;0.153265848;0.25539081;0.441725467;0.43
-15.55972222;13.19972222;0.034851852;0.593483383;0.207727713;0.198786708;1.554948475;0.08976744;0.82445973;7.578591181;5.271530132;130;2;0.128929314;0.224197594;0.412302244;0.43
-15.55972222;13.28972222;0.036101852;0.586684023;0.196945928;0.21644334;1.528107564;0.07861167;1.490307812;9.013360585;5.373203255;131;2;0.14717996;0.247757373;0.435467877;0.43
-15.47989358;12.51994769;0.048288961;0.551403212;0.223679779;0.224812475;1.401859514;0.122612306;1.725922348;14.654225;5.405990673;132;2;0.154419449;0.262990447;0.447126302;0.43
-15.47972222;12.60972222;0.041978395;0.540401419;0.250384476;0.209371354;1.399461342;0.129164015;1.631994606;10.34879011;5.490768713;133;2;0.144701038;0.256022018;0.446934881;0.43
-15.47972222;12.68972222;0.011746914;0.458540846;0.294197278;0.247103495;1.24627402;0.095716004;1.613246234;12.00959555;5.403463053;134;2;0.164835264;0.288117687;0.453398767;1.32
-15.47973501;12.77944993;0.017177632;0.51062163;0.252227843;0.202868815;1.348440034;0.099113293;1.45455497;9.460019391;5.369229384;135;2;0.138900777;0.255376711;0.444009213;1.32
-15.47972222;12.85972222;0.022243827;0.499507511;0.260304074;0.239950081;1.46654463;0.129463006;2.25170616;8.678188247;5.496426519;136;2;0.167925741;0.288928116;0.471472972;0.43
-15.47972222;12.94972222;0.051675926;0.463683065;0.265069924;0.271319832;1.443139832;0.121374057;2.326140305;11.04281902;5.2913008;137;2;0.184890873;0.309241417;0.475073196;0.43
-15.47972222;13.02972222;0.025345679;0.521546489;0.243891759;0.234578141;1.48227094;0.14153091;2.054939711;8.333425879;5.297318321;138;2;0.163183507;0.279091932;0.461777119;0.43
