Var1,EXPERIMENT,MODEL,RUN,TRNO,DATE,DAS,PRED,DAYLD,TWLD,SRAD,PARD,CLDD,TMXD,TMND,TAVD,TDYD,TDWD,TGAD,TGRD,WDSD,CO2D,VPDF,VPD,OZON7,WDATE
106,CRDA1201,RICER048,1,1,2012-09-14,106,15.2,12,12.8,12.1,24.2,0.58,28.7,23.5,26,26.8,21.6,26,26.8,124,394.3,0,0,NA,2012-09-14
107,CRDA1201,RICER048,1,1,2012-09-15,107,11.4,12,12.8,18.1,36.2,0.37,29.2,22.5,25.7,26.8,20.3,25.7,26.8,115,394.5,0,0,NA,2012-09-15
108,CRDA1201,RICER048,1,1,2012-09-16,108,9.3,12,12.8,18.2,36.4,0.37,29.6,22.9,26.1,27.2,20.7,26.1,27.2,140,394.5,0,0,NA,2012-09-16
109,CRDA1201,RICER048,1,1,2012-09-17,109,24.8,12,12.8,20.7,41.4,0.29,30.4,22.4,26.2,27.5,19.5,26.2,27.5,102,394.5,0,0,NA,2012-09-17
110,CRDA1201,RICER048,1,1,2012-09-18,110,4.2,12,12.8,14.8,29.6,0.49,30.2,22.5,26.2,27.4,20.2,26.2,27.4,138,394.5,0,0,NA,2012-09-18
111,CRDA1201,RICER048,1,1,2012-09-19,111,14.4,12,12.8,19,38,0.34,28.9,22.1,25.4,26.5,19.9,25.4,26.5,127,394.5,0,0,NA,2012-09-19
112,CRDA1201,RICER048,1,1,2012-09-20,112,12.9,12,12.8,22,44,0.24,29.9,22.6,26.1,27.3,20.3,26.1,27.3,111,394.5,0,0,NA,2012-09-20
113,CRDA1201,RICER048,1,1,2012-09-21,113,15.6,12,12.8,7,14,0.76,29.3,24,26.5,27.4,21.9,26.5,27.4,105,394.5,0,0,NA,2012-09-21
114,CRDA1201,RICER048,1,1,2012-09-22,114,5.3,12,12.8,20.3,40.6,0.3,30,23.4,26.6,27.6,20.5,26.6,27.6,112,394.5,0,0,NA,2012-09-22
115,CRDA1201,RICER048,1,1,2012-09-23,115,4,12,12.8,18.9,37.8,0.35,28.5,23.6,25.9,26.7,21.9,25.9,26.7,162,394.5,0,0,NA,2012-09-23
116,CRDA1201,RICER048,1,1,2012-09-24,116,3.8,12,12.8,18.6,37.2,0.36,29.7,23.1,26.3,27.3,20.8,26.3,27.3,144,394.5,0,0,NA,2012-09-24
117,CRDA1201,RICER048,1,1,2012-09-25,117,4.9,12,12.8,22.4,44.8,0.23,31,23.4,27,28.3,20.6,27,28.3,130,394.5,0,0,NA,2012-09-25
118,CRDA1201,RICER048,1,1,2012-09-26,118,4.3,12,12.8,23.1,46.2,0.2,31.6,21.5,26.3,28,18.5,26.3,28,140,394.5,0,0,NA,2012-09-26
119,CRDA1201,RICER048,1,1,2012-09-27,119,6.6,12,12.8,20.3,40.6,0.3,31.7,22.7,27,28.5,20,27,28.5,142,394.5,0,0,NA,2012-09-27
120,CRDA1201,RICER048,1,1,2012-09-28,120,4,12,12.8,20.5,41,0.29,31.3,22.9,26.9,28.3,20.3,26.9,28.3,95,394.5,0,0,NA,2012-09-28
121,CRDA1201,RICER048,1,1,2012-09-29,121,6.7,12,12.8,20.5,41,0.29,29.7,23.1,26.3,27.3,21.4,26.3,27.3,161,394.5,0,0,NA,2012-09-29
122,CRDA1201,RICER048,1,1,2012-09-30,122,2.9,12,12.8,19.9,39.8,0.31,28.4,23.5,25.8,26.6,22.2,25.8,26.6,177,394.5,0,0,NA,2012-09-30
123,CRDA1201,RICER048,1,1,2012-10-01,123,6.5,12,12.8,13.5,27,0.53,29.9,22.5,26,27.2,20.2,26,27.2,100,394.5,0,0,NA,2012-10-01
124,CRDA1201,RICER048,1,1,2012-10-02,124,6.3,12,12.8,13.9,27.8,0.52,29.3,22.4,25.7,26.8,20.6,25.7,26.8,152,394.5,0,0,NA,2012-10-02
125,CRDA1201,RICER048,1,1,2012-10-03,125,3.3,12,12.8,18.5,37,0.36,29.7,21.9,25.6,26.9,19.3,25.6,26.9,146,394.5,0,0,NA,2012-10-03
126,CRDA1201,RICER048,1,1,2012-10-04,126,3.2,12,12.8,19.7,39.4,0.32,30.8,22.3,26.4,27.7,19.4,26.4,27.7,108,394.5,0,0,NA,2012-10-04
127,CRDA1201,RICER048,1,1,2012-10-05,127,5,12,12.8,19.2,38.4,0.33,28.6,23.7,26,26.8,21.7,26,26.8,98,394.5,0,0,NA,2012-10-05
128,CRDA1201,RICER048,1,1,2012-10-06,128,3.1,12,12.8,17.5,35,0.39,30,23.7,26.7,27.7,21,26.7,27.7,78,394.5,0,0,NA,2012-10-06
129,CRDA1201,RICER048,1,1,2012-10-07,129,1.8,12,12.8,21.9,43.8,0.24,30.7,23,26.7,27.9,19.8,26.7,27.9,122,394.5,0,0,NA,2012-10-07
130,CRDA1201,RICER048,1,1,2012-10-08,130,1.4,12,12.8,21.8,43.6,0.24,31,23.5,27.1,28.3,20.7,27.1,28.3,89,394.5,0,0,NA,2012-10-08
131,CRDA1201,RICER048,1,1,2012-10-09,131,1.2,12,12.8,20.9,41.8,0.27,29.3,24,26.5,27.4,22.2,26.5,27.4,102,394.5,0,0,NA,2012-10-09
132,CRDA1201,RICER048,1,1,2012-10-10,132,1.3,12,12.8,22.2,44.4,0.23,30.4,23.8,27,28,21.9,27,28,141,394.5,0,0,NA,2012-10-10
133,CRDA1201,RICER048,1,1,2012-10-11,133,1.7,12,12.8,18,36,0.37,29.4,23.4,26.3,27.2,22,26.3,27.2,173,394.5,0,0,NA,2012-10-11
134,CRDA1201,RICER048,1,1,2012-10-12,134,4.9,12,12.8,17.5,35,0.39,28.9,23.4,26,26.9,22,26,26.9,137,394.5,0,0,NA,2012-10-12
135,CRDA1201,RICER048,1,1,2012-10-13,135,7.2,12,12.8,19.5,39,0.32,29.6,23.5,26.4,27.4,21.4,26.4,27.4,92,394.5,0,0,NA,2012-10-13
136,CRDA1201,RICER048,1,1,2012-10-14,136,4.6,12,12.8,21.8,43.6,0.24,31.3,23,27,28.3,19.9,27,28.3,90,394.5,0,0,NA,2012-10-14
137,CRDA1201,RICER048,1,1,2012-10-15,137,5,12,12.8,21.4,42.8,0.25,31,23,26.8,28.1,19.9,26.8,28.1,117,394.8,0,0,NA,2012-10-15
